w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.7,22,0.011263,0.036682,0.974463,0.974902,0.025419,0.700000
0.7,23,0.011170,0.036481,0.974723,0.975007,0.025311,0.700000
0.7,24,0.011078,0.036282,0.974810,0.975111,0.025204,0.700000
0.7,25,0.010988,0.036085,0.974810,0.975215,0.025097,0.700000
0.7,26,0.010904,0.035894,0.974636,0.975320,0.024990,0.700000
0.7,27,0.010822,0.035705,0.974636,0.975424,0.024883,0.700000
0.7,28,0.010744,0.035520,0.974550,0.975529,0.024775,0.700000
0.7,29,0.010668,0.035335,0.974636,0.975634,0.024667,0.700000
0.7,30,0.010595,0.035153,0.974810,0.975741,0.024559,0.700000
0.8,1,0.013786,0.029972,0.968750,0.983944,0.016186,0.800000
0.8,2,0.012719,0.028850,0.973598,0.983999,0.016131,0.800000
0.8,3,0.012450,0.028524,0.973251,0.984054,0.016075,0.800000
0.8,4,0.012464,0.028487,0.972992,0.984105,0.016023,0.800000
0.8,5,0.012438,0.028414,0.973165,0.984151,0.015976,0.800000
0.8,6,0.012286,0.028222,0.973165,0.984191,0.015935,0.800000
0.8,7,0.012083,0.027982,0.973425,0.984227,0.015899,0.800000
0.8,8,0.011888,0.027754,0.974636,0.984260,0.015866,0.800000
0.8,9,0.011749,0.027582,0.974896,0.984292,0.015833,0.800000
0.8,10,0.011652,0.027452,0.974377,0.984325,0.015800,0.800000
0.8,11,0.011588,0.027353,0.974377,0.984359,0.015765,0.800000
0.8,12,0.011528,0.027255,0.974810,0.984396,0.015727,0.800000
0.8,13,0.011466,0.027153,0.974983,0.984435,0.015687,0.800000
0.8,14,0.011396,0.027041,0.974983,0.984477,0.015645,0.800000
0.8,15,0.011321,0.026921,0.975416,0.984521,0.015600,0.800000
0.8,16,0.011239,0.026793,0.975502,0.984566,0.015554,0.800000
0.8,17,0.011161,0.026667,0.975848,0.984614,0.015506,0.800000
0.8,18,0.011082,0.026538,0.975848,0.984662,0.015457,0.800000
0.8,19,0.011002,0.026409,0.975675,0.984711,0.015407,0.800000
0.8,20,0.010930,0.026286,0.975502,0.984761,0.015357,0.800000
0.8,21,0.010856,0.026163,0.975675,0.984810,0.015306,0.800000
0.8,22,0.010780,0.026037,0.975762,0.984859,0.015257,0.800000
0.8,23,0.010706,0.025914,0.975589,0.984907,0.015208,0.800000
0.8,24,0.010633,0.025792,0.976108,0.984955,0.015159,0.800000
0.8,25,0.010559,0.025670,0.976281,0.985002,0.015111,0.800000
0.8,26,0.010490,0.025554,0.976454,0.985049,0.015064,0.800000
0.8,27,0.010424,0.025442,0.976021,0.985095,0.015017,0.800000
0.8,28,0.010368,0.025339,0.976195,0.985141,0.014971,0.800000
0.8,29,0.010316,0.025240,0.976454,0.985187,0.014924,0.800000
0.8,30,0.010273,0.025150,0.976627,0.985233,0.014877,0.800000
0.9,1,0.015610,0.022987,0.961998,0.992650,0.007377,0.900000
0.9,2,0.014052,0.021405,0.967452,0.992674,0.007353,0.900000
0.9,3,0.013378,0.020708,0.971520,0.992697,0.007330,0.900000
